BRDT3
DMMO3
ENAT3
OSXB3
PETR3
PETR4
PRIO3
RPMG3
BALM4
BDLL4
EALT3
EALT4
TASA3
TASA4
INEP3
INEP4
KEPL3
LUPA3
MTSA4
NORD3
ROMI3
SHUL4
WEGE3
CCXC3
MMXM3
VALE3
CSNA3
FESA3
FESA4
GGBR3
GGBR4
GOAU3
GOAU4
MGEL4
PATI3
PATI4
PMAM3
TKNO4
USIM3
USIM5
USIM6
AALR3
BIOM3
DASA3
FLRY3
GBIO33
GNDI3
HAPV3
ODPV3
OFSA3
PARD3
QUAL3
ABCB4
BAZA3
BBAS3
BBDC3
BBDC4
BEES3
BEES4
BGIP3
BGIP4
BIDI11
BIDI4
BMEB3
BMEB4
BMIN3
BMIN4
BNBR3
BPAC11
BPAC3
BPAC5
BPAN4
BRGE11
BRGE12
BRGE3
BRGE6
BRGE8
BRIV3
BRIV4
BRSR3
BRSR5
BRSR6
BSLI3
BSLI4
CRIV3
CRIV4
IDVL3
IDVL4
ITSA3
ITSA4
ITUB3
ITUB4
MERC4
PINE4
RPAD3
RPAD5
RPAD6
SANB11
SANB3
SANB4
